Provincia,Departamento,Cant_EE,Cant_Biblioteca_Popular,Población
Córdoba,Río Primero,89,3,58181
Ciudad de Buenos Aires,Comuna 6,88,4,201764
Corrientes,Santo Tomé,87,2,71922
Catamarca,Tinogasta,87,1,25254
Mendoza,Luján de Cuyo,86,6,171883
Catamarca,Santa María,86,2,26822
Entre Ríos,Colón,85,6,74890
Salta,Anta,85,5,69442
Buenos Aires,Mercedes,85,1,71002
Córdoba,Marcos Juárez,84,11,107286
Buenos Aires,Azul,84,3,75152
Córdoba,San Alberto,84,2,42029
Entre Ríos,Gualeguay,84,2,56796
Buenos Aires,Zárate,84,1,131415
Jujuy,San Pedro,83,6,88237
Santiago del Estero,Choya,83,2,43692
Santa Fe,San Justo,82,6,46486
Santiago del Estero,Avellaneda,82,3,25462
Corrientes,Curuzú Cuatiá,82,2,51489
Formosa,Pilagás,82,0,19089
Santiago del Estero,Robles,81,4,53879
Ciudad de Buenos Aires,Comuna 2,81,1,160609
Santiago del Estero,Loreto,81,1,24047
Tucumán,Chicligasta,81,1,92308
Córdoba,Calamuchita,80,6,75462
Entre Ríos,Federal,80,2,29436
Corrientes,Lavalle,80,1,40406
Tucumán,Simoca,79,0,36946
Chubut,Biedma,78,7,102806
Santiago del Estero,Alberdi,78,1,20104
San Juan,Rivadavia,76,8,101334
Mendoza,Lavalle,76,3,47086
Misiones,Apóstoles,76,1,50503
Corrientes,Bella Vista,75,1,44369
Chaco,Almirante Brown,75,0,37794
Tucumán,Monteros,74,5,77469
Santiago del Estero,General Taboada,73,3,46304
Buenos Aires,Chivilcoy,73,1,70554
Misiones,Montecarlo,72,4,38620
Santiago del Estero,Jiménez,72,1,18622
Chaco,Mayor Luis J. Fontana,71,3,59798
Misiones,San Javier,71,2,23080
La Rioja,Chilecito,70,3,58681
Buenos Aires,Trenque Lauquen,70,2,49128
San Juan,Jáchal,70,1,25269
Chubut,Futaleufú,69,2,49965
Buenos Aires,San Pedro,68,2,68353
Entre Ríos,Tala,68,2,31091
Corrientes,Ituzaingó,68,1,38767
La Pampa,Maracó,67,6,69067
Córdoba,San Javier,67,5,62700
Buenos Aires,Tres Arroyos,66,10,61889
Corrientes,Monte Caseros,66,7,45602
Corrientes,Mercedes,66,5,49807
Corrientes,General Paz,66,3,17016
Santiago del Estero,Juan Felipe Ibarra,66,1,20567
Buenos Aires,25 de Mayo,66,0,35411
Catamarca,Capayán,65,4,19471
Jujuy,Ledesma,65,4,94132
Corrientes,Concepción,65,2,26270
San Juan,Pocito,65,1,72879
Buenos Aires,Pehuajó,64,4,44594
Mendoza,General Alvear,64,4,52379
