Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Buenos Aires,Monte,8,1098,10,3031,3,2380
Buenos Aires,Exaltación de la Cruz,10,1929,10,4920,7,3860
Buenos Aires,Villa Gesell,6,1476,10,4267,8,3801
Buenos Aires,General Guido,2,137,10,338,3,304
Buenos Aires,Marcos Paz,11,3460,10,8477,5,7148
Buenos Aires,Leandro N. Alem,4,739,10,1838,6,1700
Buenos Aires,Lezama,1,255,9,639,1,570
Buenos Aires,Alberti,6,495,9,1378,6,1198
Buenos Aires,Rivadavia,4,942,9,2317,5,1873
Buenos Aires,Colón,5,1112,9,2851,4,2561
Buenos Aires,Maipú,4,503,8,1234,3,995
Buenos Aires,General Las Heras,6,836,8,2054,4,1823
Buenos Aires,Capitán Sarmiento,6,625,8,1713,5,1441
Buenos Aires,Hipólito Yrigoyen,3,435,8,1110,1,965
Buenos Aires,San Cayetano,4,314,8,865,2,747
Buenos Aires,Castelli,3,416,8,1013,2,904
Buenos Aires,Suipacha,3,535,7,1328,3,1257
Buenos Aires,Benito Juárez,8,916,7,2277,7,2015
Buenos Aires,General Arenales,5,655,6,1535,8,1404
Buenos Aires,Pinamar,6,1719,6,4519,3,3979
Buenos Aires,General Lavalle,0,250,5,636,2,493
Buenos Aires,Florentino Ameghino,4,470,5,1275,4,1107
Buenos Aires,Adolfo Gonzales Chaves,6,523,5,1401,4,1170
Buenos Aires,Tres Lomas,2,380,4,989,4,831
Buenos Aires,Pellegrini,5,373,4,831,0,610
Buenos Aires,Salliqueló,2,366,3,963,1,846
Buenos Aires,Monte Hermoso,2,317,3,942,2,782
Buenos Aires,Tordillo,0,136,2,298,0,231
Catamarca,Belén,45,1434,57,3513,24,3350
Catamarca,La Paz,29,1261,51,3146,18,2844
Catamarca,Capital,47,8055,44,20132,44,17544
Catamarca,Tinogasta,30,1134,38,2784,19,2684
Catamarca,Santa María,27,1238,33,2998,28,2619
Catamarca,Capayán,24,898,29,2244,12,2043
Catamarca,Ancasti,7,137,28,334,5,322
Catamarca,Santa Rosa,17,625,25,1476,11,1361
Catamarca,Andalgalá,16,870,25,2037,14,2051
Catamarca,El Alto,16,204,25,517,8,485
Catamarca,Pomán,13,554,19,1480,12,1321
Catamarca,Ambato,13,218,18,439,5,401
Catamarca,Valle Viejo,17,1520,18,3862,14,3346
Catamarca,Paclín,10,172,13,512,5,450
Catamarca,Fray Mamerto Esquiú,10,654,10,1651,7,1397
Catamarca,Antofagasta de la Sierra,3,74,5,241,2,174
Chaco,General Güemes,87,3925,156,9486,34,7565
Chaco,San Fernando,131,18040,124,45514,72,36791
Chaco,Libertador General San Martín,51,3634,65,8406,26,6903
Chaco,Comandante Fernández,35,4754,56,12218,23,10680
Chaco,Almirante Brown,31,2184,48,5089,12,4604
Chaco,Mayor Luis J. Fontana,36,3161,44,7600,11,5872
Chaco,9 de Julio,26,1620,41,3572,7,3053
Chaco,Quitilipi,24,1678,39,3819,8,3539
Chaco,Maipú,26,1471,33,3468,6,2776
Chaco,25 de Mayo,18,1763,31,4543,7,3788
Chaco,O'Higgins,19,1099,29,3018,7,2575
Chaco,Chacabuco,25,1714,28,4114,10,3194
Chaco,San Lorenzo,10,929,27,2119,4,1694
Chaco,Independencia,10,1262,26,3020,6,2776
Chaco,12 de Octubre,19,1126,26,2851,9,2323
Chaco,Bermejo,18,1344,24,3431,10,2793
Chaco,Sargento Cabral,14,961,23,2286,7,1912
Chaco,Fray Justo Santa María de Oro,12,522,17,1305,5,1039
Chaco,Presidencia de la Plaza,11,756,15,1853,3,1510
Chaco,General Donovan,4,747,14,1794,7,1513
Chaco,2 de Abril,8,407,13,895,4,768
Chaco,General Belgrano,5,771,11,1698,3,1470
Chaco,Libertad,5,714,8,1682,4,1357
Chaco,1º de Mayo,9,760,8,1810,6,1262
Chaco,Tapenagá,5,207,7,505,2,442
Chubut,Escalante,61,9406,55,25207,37,20255
Chubut,Rawson,51,5876,46,15641,29,13427
Chubut,Biedma,28,4374,27,12244,20,10407
Chubut,Cushamen,20,1171,26,3216,19,2710
Chubut,Futaleufú,24,2036,25,5702,20,4656
Chubut,Gaiman,7,540,8,1396,8,1244
Chubut,Sarmiento,7,769,7,1995,4,1510
Chubut,Río Senguer,7,305,7,746,7,517
Chubut,Languiñeo,5,141,5,297,5,269
Chubut,Tehuelches,4,267,5,754,4,546
Chubut,Gastre,4,52,5,108,5,97
Chubut,Telsen,3,60,4,167,4,151
Chubut,Paso de Indios,3,76,2,191,3,147
Chubut,Florentino Ameghino,2,103,2,221,1,157
Chubut,Mártires,2,43,2,74,1,54
Ciudad de Buenos Aires,Comuna 4,67,8119,79,22520,39,18869
Ciudad de Buenos Aires,Comuna 13,71,6553,72,17774,52,16311
Ciudad de Buenos Aires,Comuna 12,67,6676,70,17210,39,14615
Ciudad de Buenos Aires,Comuna 11,60,5321,69,14922,29,13918
Ciudad de Buenos Aires,Comuna 7,58,6129,62,17292,32,15351
Ciudad de Buenos Aires,Comuna 10,61,4745,60,13286,29,12254
Ciudad de Buenos Aires,Comuna 9,54,5015,58,14531,23,13545
Ciudad de Buenos Aires,Comuna 1,47,6851,53,17398,38,14659
Ciudad de Buenos Aires,Comuna 14,59,5701,53,14539,37,13329
Ciudad de Buenos Aires,Comuna 8,60,8442,50,23918,29,20127
Ciudad de Buenos Aires,Comuna 3,43,5197,48,13857,35,12322
Ciudad de Buenos Aires,Comuna 6,44,5158,43,13889,28,12281
Ciudad de Buenos Aires,Comuna 5,42,4779,40,13029,25,11616
Ciudad de Buenos Aires,Comuna 15,42,5328,40,14068,25,12311
Ciudad de Buenos Aires,Comuna 2,39,3521,36,8758,26,9155
Corrientes,Capital,134,19680,97,47808,72,40759
Corrientes,Goya,83,4959,96,12729,31,11020
Corrientes,Esquina,46,2117,56,4809,14,4256
Corrientes,Curuzú Cuatiá,38,2522,49,6209,16,5270
Corrientes,Santo Tomé,45,3709,49,9454,22,7725
Corrientes,San Luis del Palmar,31,1037,42,2392,11,2129
Corrientes,Empedrado,24,877,39,2041,8,1795
Corrientes,Monte Caseros,29,2277,39,5486,13,4434
Corrientes,Lavalle,37,2407,39,5545,14,4384
Corrientes,Mercedes,34,2649,38,6120,14,4682
Corrientes,Bella Vista,36,2328,37,5598,12,4349
Corrientes,Paso de los Libres,31,2964,34,7451,14,6405
Corrientes,Concepción,25,1534,34,3721,8,3145
Corrientes,Ituzaingó,29,2033,33,4878,14,4073
Corrientes,General Paz,30,798,32,1916,12,1636
Corrientes,San Roque,24,1145,28,2726,8,2356
Corrientes,Saladas,27,1455,28,3566,9,3134
Corrientes,San Martín,16,819,24,1980,9,1694
