Provincia,Departamento,Jardines,Población Jardin,Primarias,Población Primaria,Secundarios,Población Secundaria
Santiago del Estero,San Martín,27,610,35,1602,18,1480
Santiago del Estero,Atamisqui,26,822,26,2168,12,1880
Santiago del Estero,Guasayán,18,494,23,1095,12,941
Santiago del Estero,Silípica,14,464,16,1173,14,1076
Santiago del Estero,Rivadavia,12,261,16,649,3,539
Santiago del Estero,Sarmiento,9,286,16,722,8,624
Santiago del Estero,Belgrano,7,585,12,1293,5,1074
Santiago del Estero,Aguirre,9,434,12,1064,6,941
Santiago del Estero,Mitre,5,62,9,143,4,160
Tierra del Fuego,Tolhuin,3,322,3,832,2,662
Tierra del Fuego,Río Grande,0,4771,0,11816,0,9779
Tucumán,Capital,172,24461,129,60342,108,50598
Tucumán,Cruz Alta,86,11658,74,29374,47,23883
Tucumán,Leales,71,3089,71,7892,40,6716
Tucumán,Burruyacú,56,2331,57,6034,39,4942
Tucumán,Simoca,52,1709,52,4427,26,3591
Tucumán,Tafí Viejo,57,8495,47,21744,33,17829
Tucumán,Chicligasta,44,4203,41,10719,27,8977
Tucumán,Monteros,41,3579,38,9280,23,7910
Tucumán,Yerba Buena,34,4689,31,11860,17,10036
Tucumán,Lules,35,4717,31,12694,20,9951
Tucumán,Río Chico,32,3011,30,7740,23,6483
Tucumán,Graneros,29,800,29,1880,18,1613
Tucumán,Trancas,25,1163,25,2854,19,2478
Tucumán,Tafí del Valle,22,1010,24,2606,11,2135
Tucumán,Famaillá,24,2322,23,5489,14,4607
Tucumán,Juan Bautista Alberdi,20,1586,19,4124,11,3462
Tucumán,La Cocha,17,992,18,2557,12,2282
